X,Y,Z
333.4522,80.7500,1003.7304
334.4331,80.7500,1003.7336
335.4140,80.7500,1003.7369
336.3949,80.7500,1003.7401
337.3758,80.7500,1003.7433
338.3567,80.7500,1003.7466
339.3376,80.7500,1003.7498
340.3185,80.7500,1003.7531
341.2994,80.7500,1003.7563
342.2803,80.7500,1003.7595
343.2611,80.7500,1003.7628
344.2420,80.7500,1003.7660
345.2229,80.7500,1003.7692
346.2038,80.7500,1003.7725
347.1847,80.7500,1003.7757
348.1656,80.7500,1003.7789
349.1465,80.7500,1003.7822
350.1274,80.7500,1003.7854
351.1083,80.7500,1003.7887
352.0892,80.7500,1003.7919
353.0701,80.7500,1003.7951
354.0510,80.7500,1003.7984
355.0318,80.7500,1003.8016
356.0127,80.7500,1003.8048
356.9936,80.7500,1003.8081
357.9745,80.7500,1003.8113
358.9554,80.7500,1003.8146
359.9363,80.7500,1003.8178
360.9172,80.7500,1003.8210
361.8981,80.7500,1003.8243
362.8790,80.7500,1003.8275
363.8599,80.7500,1003.8307
364.8408,80.7500,1003.8340
365.8217,80.7500,1003.8372
366.8025,80.7500,1003.8404
367.7834,80.7500,1003.8437
368.7643,80.7500,1003.8469
369.7452,80.7500,1003.8502
370.7261,80.7500,1003.8534
371.7070,80.7500,1003.8566
372.6879,80.7500,1003.8599
373.6688,80.7500,1003.8631
374.6497,80.7500,1003.8663
375.6306,80.7500,1003.8696
376.6115,80.7500,1003.8728
377.5924,80.7500,1003.8761
378.5732,80.7500,1003.8793
379.5541,80.7500,1003.8825
380.5350,80.7500,1003.8858
381.5159,80.7500,1003.8890
382.4968,80.7500,1003.8922
383.4777,80.7500,1003.8955
384.4586,80.7500,1003.8987
385.4395,80.7500,1003.9020
386.4204,80.7500,1003.9052
387.4013,80.7500,1003.9084
388.3822,80.7500,1003.9117
389.3631,80.7500,1003.9149
390.3439,80.7500,1003.9181
391.3248,80.7500,1003.9214
392.3057,80.7500,1003.9246
393.2866,80.7500,1003.9278
394.2675,80.7500,1003.9311
395.2484,80.7500,1003.9343
396.2293,80.7500,1003.9376
397.2102,80.7500,1003.9408
398.1911,80.7500,1003.9440
399.1720,80.7500,1003.9473
400.1529,80.7500,1003.9505
401.1338,80.7500,1003.9537
402.1146,80.7500,1003.9570
403.0955,80.7500,1003.9602
404.0764,80.7500,1003.9635
405.0573,80.7500,1003.9667
406.0382,80.7500,1003.9699
407.0191,80.7500,1003.9732
408.0000,80.7500,1003.9764
408.9809,80.7500,1003.9796
409.9618,80.7500,1003.9829
410.9427,80.7500,1003.9861
411.9236,80.7500,1003.9893
412.9045,80.7500,1003.9926
413.8854,80.7500,1003.9958
414.8662,80.7500,1003.9991
415.8471,80.7500,1004.0023
416.8280,80.7500,1004.0055
417.8089,80.7500,1004.0088
418.7898,80.7500,1004.0120
419.7707,80.7500,1004.0152
420.7516,80.7500,1004.0185
421.7325,80.7500,1004.0217
422.7134,80.7500,1004.0250
423.6943,80.7500,1004.0282
424.6752,80.7500,1004.0314
425.6561,80.7500,1004.0347
426.6369,80.7500,1004.0379
427.6178,80.7500,1004.0411
428.5987,80.7500,1004.0444
429.5796,80.7500,1004.0476
430.5605,80.7500,1004.0509
431.5414,80.7500,1004.0541
432.5223,80.7500,1004.0573
433.5032,80.7500,1004.0606
434.4841,80.7500,1004.0638
435.4650,80.7500,1004.0670
436.4459,80.7500,1004.0703
437.4268,80.7500,1004.0735
438.4076,80.7500,1004.0767
439.3885,80.7500,1004.0800
440.3694,80.7500,1004.0832
441.3503,80.7500,1004.0865
442.3312,80.7500,1004.0897
443.3121,80.7500,1004.0929
444.2930,80.7500,1004.0962
445.2739,80.7500,1004.0994
446.2548,80.7500,1004.1026
447.2357,80.7500,1004.1059
448.2166,80.7500,1004.1091
449.1975,80.7500,1004.1124
450.1783,80.7500,1004.1156
451.1592,80.7500,1004.1188
452.1401,80.7500,1004.1221
453.1210,80.7500,1004.1253
454.1019,80.7500,1004.1285
455.0828,80.7500,1004.1318
456.0637,80.7500,1004.1350
457.0446,80.7500,1004.1382
458.0255,80.7500,1004.1415
459.0064,80.7500,1004.1447
459.9873,80.7500,1004.1480
460.9682,80.7500,1004.1512
461.9490,80.7500,1004.1544
462.9299,80.7500,1004.1577
463.9108,80.7500,1004.1609
464.8917,80.7500,1004.1641
465.8726,80.7500,1004.1674
466.8535,80.7500,1004.1706
467.8344,80.7500,1004.1739
468.8153,80.7500,1004.1771
469.7962,80.7500,1004.1803
470.7771,80.7500,1004.1836
471.7580,80.7500,1004.1868
472.7389,80.7500,1004.1900
473.7197,80.7500,1004.1933
474.7006,80.7500,1004.1965
475.6815,80.7500,1004.1997
476.6624,80.7500,1004.2030
477.6433,80.7500,1004.2062
478.6242,80.7500,1004.2095
479.6051,80.7500,1004.2127
480.5860,80.7500,1004.2159
481.5669,80.7500,1004.2192
482.5478,80.7500,1004.2224
483.5287,80.7500,1004.2256
484.5096,80.7500,1004.2289
485.4904,80.7500,1004.2321
486.4713,80.7500,1004.2354
487.4522,80.7500,1004.2386
488.4331,80.7500,1004.2418
489.4140,80.7500,1004.2451
490.3949,80.7500,1004.2483
491.3758,80.7500,1004.2515
492.3567,80.7500,1004.2548
493.3376,80.7500,1004.2580
494.3185,80.7500,1004.2613
495.2994,80.7500,1004.2645
496.2803,80.7500,1004.2677
497.2611,80.7500,1004.2710
498.2420,80.7500,1004.2742
499.2229,80.7500,1004.2774
500.2038,80.7500,1004.2807
501.1847,80.7500,1004.2839
502.1656,80.7500,1004.2871
503.1465,80.7500,1004.2904
504.1274,80.7500,1004.2936
505.1083,80.7500,1004.2969
506.0892,80.7500,1004.3001
507.0701,80.7500,1004.3033
508.0510,80.7500,1004.3066
509.0318,80.7500,1004.3098
510.0127,80.7500,1004.3130
510.9936,80.7500,1004.3163
511.9745,80.7500,1004.3195
512.9554,80.7500,1004.3228
513.9363,80.7500,1004.3260
514.9172,80.7500,1004.3292
515.8981,80.7500,1004.3325
516.8790,80.7500,1004.3357
517.8599,80.7500,1004.3389
518.8408,80.7500,1004.3422
519.8217,80.7500,1004.3454
520.8025,80.7500,1004.3486
521.7834,80.7500,1004.3519
522.7643,80.7500,1004.3551
523.7452,80.7500,1004.3584
524.7261,80.7500,1004.3616
525.7070,80.7500,1004.3648
526.6879,80.7500,1004.3681
527.6688,80.7500,1004.3713
528.6497,80.7500,1004.3745
529.6306,80.7500,1004.3778
530.6115,80.7500,1004.3810
531.5924,80.7500,1004.3843
532.5732,80.7500,1004.3875
533.5541,80.7500,1004.3907
534.5350,80.7500,1004.3940
535.5159,80.7500,1004.3972
536.4968,80.7500,1004.4004
537.4777,80.7500,1004.4037
538.4586,80.7500,1004.4069
539.4395,80.7500,1004.4102
540.4204,80.7500,1004.4134
541.4013,80.7500,1004.4166
542.3822,80.7500,1004.4199
543.3631,80.7500,1004.4231
544.3439,80.7500,1004.4263
545.3248,80.7500,1004.4296
546.3057,80.7500,1004.4328
547.2866,80.7500,1004.4360
548.2675,80.7500,1004.4393
549.2484,80.7500,1004.4425
550.2293,80.7500,1004.4458
551.2102,80.7500,1004.4490
552.1911,80.7500,1004.4522
553.1720,80.7500,1004.4555
554.1529,80.7500,1004.4587
555.1338,80.7500,1004.4619
556.1146,80.7500,1004.4652
557.0955,80.7500,1004.4684
558.0764,80.7500,1004.4717
559.0573,80.7500,1004.4749
560.0382,80.7500,1004.4781
561.0191,80.7500,1004.4814
562.0000,80.7500,1004.4846
562.9809,80.7500,1004.4878
563.9618,80.7500,1004.4911
564.9427,80.7500,1004.4943
565.9236,80.7500,1004.4975
566.9045,80.7500,1004.5008
567.8854,80.7500,1004.5040
568.8662,80.7500,1004.5073
569.8471,80.7500,1004.5105
570.8280,80.7500,1004.5137
571.8089,80.7500,1004.5170
572.7898,80.7500,1004.5202
573.7707,80.7500,1004.5234
574.7516,80.7500,1004.5267
575.7325,80.7500,1004.5299
576.7134,80.7500,1004.5332
577.6943,80.7500,1004.5364
578.6752,80.7500,1004.5396
579.6561,80.7500,1004.5429
580.6369,80.7500,1004.5461
581.6178,80.7500,1004.5493
582.5987,80.7500,1004.5526
583.5796,80.7500,1004.5558
584.5605,80.7500,1004.5591
585.5414,80.7500,1004.5623
586.5223,80.7500,1004.5655
587.5032,80.7500,1004.5688
588.4841,80.7500,1004.5720
589.4650,80.7500,1004.5752
590.4459,80.7500,1004.5785
591.4268,80.7500,1004.5817
592.4076,80.7500,1004.5849
593.3885,80.7500,1004.5882
594.3694,80.7500,1004.5914
595.3503,80.7500,1004.5947
596.3312,80.7500,1004.5979
597.3121,80.7500,1004.6011
598.2930,80.7500,1004.6044
599.2739,80.7500,1004.6076
600.2548,80.7500,1004.6108
601.2357,80.7500,1004.6141
602.2166,80.7500,1004.6173
603.1975,80.7500,1004.6206
604.1783,80.7500,1004.6238
605.1592,80.7500,1004.6270
606.1401,80.7500,1004.6303
607.1210,80.7500,1004.6335
608.1019,80.7500,1004.6367
609.0828,80.7500,1004.6400
610.0637,80.7500,1004.6432
611.0446,80.7500,1004.6464
612.0255,80.7500,1004.6497
613.0064,80.7500,1004.6529
613.9873,80.7500,1004.6562
614.9682,80.7500,1004.6594
615.9490,80.7500,1004.6626
616.9299,80.7500,1004.6659
617.9108,80.7500,1004.6691
618.8917,80.7500,1004.6723
619.8726,80.7500,1004.6756
620.8535,80.7500,1004.6788
621.8344,80.7500,1004.6821
622.8153,80.7500,1004.6853
623.7962,80.7500,1004.6885
624.7771,80.7500,1004.6918
625.7580,80.7500,1004.6950
626.7389,80.7500,1004.6982
627.7197,80.7500,1004.7015
628.7006,80.7500,1004.7047
629.6815,80.7500,1004.7079
630.6624,80.7500,1004.7112
631.6433,80.7500,1004.7144
632.6242,80.7500,1004.7177
633.6051,80.7500,1004.7209
634.5860,80.7500,1004.7241
635.5669,80.7500,1004.7274
636.5478,80.7500,1004.7306
637.5287,80.7500,1004.7338
638.5096,80.7500,1004.7371
639.4904,80.7500,1004.7403
640.4713,80.7500,1004.7436
641.4522,80.7500,1004.7468
642.4331,80.7500,1004.7500
643.4140,80.7500,1004.7533
644.3949,80.7500,1004.7565
645.3758,80.7500,1004.7597
646.3567,80.7500,1004.7630
647.3376,80.7500,1004.7662
648.3185,80.7500,1004.7695
649.2994,80.7500,1004.7727
650.2803,80.7500,1004.7759
651.2611,80.7500,1004.7792
652.2420,80.7500,1004.7824
653.2229,80.7500,1004.7856
654.2038,80.7500,1004.7889
655.1847,80.7500,1004.7921
656.1656,80.7500,1004.7953
657.1465,80.7500,1004.7986
658.1274,80.7500,1004.8018
659.1083,80.7500,1004.8051
660.0892,80.7500,1004.8083
661.0701,80.7500,1004.8115
662.0510,80.7500,1004.8148
663.0318,80.7500,1004.8180
664.0127,80.7500,1004.8212
664.9936,80.7500,1004.8245
665.9745,80.7500,1004.8277
666.9554,80.7500,1004.8310
667.9363,80.7500,1004.8342
668.9172,80.7500,1004.8374
669.8981,80.7500,1004.8407
670.8790,80.7500,1004.8439
671.8599,80.7500,1004.8471
672.8408,80.7500,1004.8504
673.8217,80.7500,1004.8536
674.8025,80.7500,1004.8568
675.7834,80.7500,1004.8601
676.7643,80.7500,1004.8633
677.7452,80.7500,1004.8666
678.7261,80.7500,1004.8698
679.7070,80.7500,1004.8730
680.6879,80.7500,1004.8763
681.6688,80.7500,1004.8795
682.6497,80.7500,1004.8827
683.6306,80.7500,1004.8860
684.6115,80.7500,1004.8892
685.5924,80.7500,1004.8925
