X,Y,Z
193.1847,80.7500,1002.9600
194.1656,80.7500,1002.9600
195.1465,80.7500,1002.9600
196.1274,80.7500,1002.9600
197.1083,80.7500,1002.9600
198.0892,80.7500,1002.9600
199.0701,80.7500,1002.9600
200.0510,80.7500,1002.9600
201.0318,80.7500,1002.9600
202.0127,80.7500,1002.9600
202.9936,80.7500,1002.9600
203.9745,80.7500,1002.9600
204.9554,80.7500,1002.9600
205.9363,80.7500,1002.9600
206.9172,80.7500,1002.9600
207.8981,80.7500,1002.9600
208.8790,80.7500,1002.9600
209.8599,80.7500,1002.9600
210.8408,80.7500,1002.9600
211.8217,80.7500,1002.9600
212.8025,80.7500,1002.9600
213.7834,80.7500,1002.9600
214.7643,80.7500,1002.9600
215.7452,80.7500,1002.9600
216.7261,80.7500,1002.9600
217.7070,80.7500,1002.9600
218.6879,80.7500,1002.9600
219.6688,80.7500,1002.9600
220.6497,80.7500,1002.9600
221.6306,80.7500,1002.9600
222.6115,80.7500,1002.9600
223.5924,80.7500,1002.9600
224.5732,80.7500,1002.9600
225.5541,80.7500,1002.9600
226.5350,80.7500,1002.9600
227.5159,80.7500,1002.9600
228.4968,80.7500,1002.9600
229.4777,80.7500,1002.9600
230.4586,80.7500,1002.9600
231.4395,80.7500,1002.9600
232.4204,80.7500,1002.9600
233.4013,80.7500,1002.9600
234.3822,80.7500,1002.9600
235.3631,80.7500,1002.9600
236.3439,80.7500,1002.9600
237.3248,80.7500,1002.9600
238.3057,80.7500,1002.9600
239.2866,80.7500,1002.9600
240.2675,80.7500,1002.9600
241.2484,80.7500,1002.9600
242.2293,80.7500,1002.9600
243.2102,80.7500,1002.9600
244.1911,80.7500,1002.9600
245.1720,80.7500,1002.9600
246.1529,80.7500,1002.9600
247.1338,80.7500,1002.9600
248.1146,80.7500,1002.9600
249.0955,80.7500,1002.9600
250.0764,80.7500,1002.9600
251.0573,80.7500,1002.9600
252.0382,80.7500,1002.9600
253.0191,80.7500,1002.9600
254.0000,80.7500,1002.9600
254.9809,80.7500,1002.9600
255.9618,80.7500,1002.9600
256.9427,80.7500,1002.9600
257.9236,80.7500,1002.9600
258.9045,80.7500,1002.9600
259.8854,80.7500,1002.9600
260.8662,80.7500,1002.9600
261.8471,80.7500,1002.9600
262.8280,80.7500,1002.9600
263.8089,80.7500,1002.9600
264.7898,80.7500,1002.9600
265.7707,80.7500,1002.9600
266.7516,80.7500,1002.9600
267.7325,80.7500,1002.9600
268.7134,80.7500,1002.9600
269.6943,80.7500,1002.9600
270.6752,80.7500,1002.9600
271.6561,80.7500,1002.9600
272.6369,80.7500,1002.9600
273.6178,80.7500,1002.9600
274.5987,80.7500,1002.9600
275.5796,80.7500,1002.9600
276.5605,80.7500,1002.9600
277.5414,80.7500,1002.9600
278.5223,80.7500,1002.9600
279.5032,80.7500,1002.9600
280.4841,80.7500,1002.9600
281.4650,80.7500,1002.9600
282.4459,80.7500,1002.9600
283.4268,80.7500,1002.9600
284.4076,80.7500,1002.9600
285.3885,80.7500,1002.9600
286.3694,80.7500,1002.9600
287.3503,80.7500,1002.9600
288.3312,80.7500,1002.9600
289.3121,80.7500,1002.9600
290.2930,80.7500,1002.9600
291.2739,80.7500,1002.9600
292.2548,80.7500,1002.9600
293.2357,80.7500,1002.9600
294.2166,80.7500,1002.9600
295.1975,80.7500,1002.9600
296.1783,80.7500,1002.9600
297.1592,80.7500,1002.9600
298.1401,80.7500,1002.9600
299.1210,80.7500,1002.9600
300.1019,80.7500,1002.9600
301.0828,80.7500,1002.9600
302.0637,80.7500,1002.9600
303.0446,80.7500,1002.9600
304.0255,80.7500,1002.9600
305.0064,80.7500,1002.9600
